Test Case Number,Test Case Name,True Positive,Result,CWE,Category,Evidence,Confidence,Source,DataFlow,Sink
19,,false,false,22,PATH_TRAVERSAL_IN,FB:22::SECPTI,0,null,null,null
20,,false,false,353,CIPHER_INTEGRITY,FB:353::CIPINT,0,null,null,null
20,,false,false,327,DES_USAGE,FB:326::SECDU,0,null,null,null
20,,false,false,327,DES_USAGE,FB:326::SECDU,0,null,null,null
20,,false,false,327,PADDING_ORACLE,FB:null::PADORA,0,null,null,null
20,,false,false,22,PATH_TRAVERSAL_IN,FB:22::SECPTI,0,null,null,null
20,,false,false,0,SERVLET_PARAMETER,FB:null::SECSP,0,null,null,null
20,,false,false,329,STATIC_IV,FB:329::STAIV,0,null,null,null
21,,false,false,90,LDAP_INJECTION,FB:90::SECLDAPI,0,null,null,null
21,,false,false,0,SERVLET_PARAMETER,FB:null::SECSP,0,null,null,null
21,,false,false,79,XSS_SERVLET,FB:79::SECXSS2,0,null,null,null
22,,false,false,22,PATH_TRAVERSAL_IN,FB:22::SECPTI,0,null,null,null
22,,false,false,0,SERVLET_PARAMETER,FB:null::SECSP,0,null,null,null
23,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
23,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
23,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
23,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
23,,false,false,0,HTTPONLY_COOKIE,FB:null::SECHOC,0,null,null,null
23,,false,false,330,PREDICTABLE_RANDOM,FB:330::SECPR,0,null,null,null
23,,false,false,0,SERVLET_PARAMETER,FB:null::SECSP,0,null,null,null
23,,false,false,79,XSS_SERVLET,FB:79::SECXSS2,0,null,null,null
24,,false,false,0,SERVLET_PARAMETER,FB:null::SECSP,0,null,null,null
24,,false,false,89,SQL_INJECTION_JDBC,FB:89::SECSQLIJDBC,0,null,null,null
24,,false,false,89,SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,FB:89::SQL,0,null,null,null
25,,false,false,0,SERVLET_PARAMETER,FB:null::SECSP,0,null,null,null
25,,false,false,89,SQL_INJECTION_SPRING_JDBC,FB:89::SECSQLISPRJDBC,0,null,null,null
26,,false,false,0,SERVLET_PARAMETER,FB:null::SECSP,0,null,null,null
26,,false,false,89,SQL_INJECTION_SPRING_JDBC,FB:89::SECSQLISPRJDBC,0,null,null,null
27,,false,false,0,SERVLET_PARAMETER,FB:null::SECSP,0,null,null,null
27,,false,false,89,SQL_INJECTION_JDBC,FB:89::SECSQLIJDBC,0,null,null,null
27,,false,false,89,SQL_NONCONSTANT_STRING_PASSED_TO_EXECUTE,FB:89::SQL,0,null,null,null
28,,false,false,22,PATH_TRAVERSAL_OUT,FB:22::SECPTO,0,null,null,null
28,,false,false,0,SERVLET_PARAMETER,FB:null::SECSP,0,null,null,null
29,,false,false,22,PATH_TRAVERSAL_IN,FB:22::SECPTI,0,null,null,null
29,,false,false,0,SERVLET_PARAMETER,FB:null::SECSP,0,null,null,null
30,,false,false,0,SERVLET_PARAMETER,FB:null::SECSP,0,null,null,null
30,,false,false,79,XSS_SERVLET,FB:79::SECXSS2,0,null,null,null
31,,false,false,0,SERVLET_PARAMETER,FB:null::SECSP,0,null,null,null
31,,false,false,501,TRUST_BOUNDARY_VIOLATION,FB:501::SECTBV,0,null,null,null
32,,false,false,0,SERVLET_PARAMETER,FB:null::SECSP,0,null,null,null
32,,false,false,89,SQL_INJECTION_SPRING_JDBC,FB:89::SECSQLISPRJDBC,0,null,null,null
33,,false,false,0,SERVLET_PARAMETER,FB:null::SECSP,0,null,null,null
33,,false,false,89,SQL_INJECTION_SPRING_JDBC,FB:89::SECSQLISPRJDBC,0,null,null,null
34,,false,false,0,SERVLET_PARAMETER,FB:null::SECSP,0,null,null,null
34,,false,false,89,SQL_INJECTION_JDBC,FB:89::SECSQLIJDBC,0,null,null,null
34,,false,false,89,SQL_NONCONSTANT_STRING_PASSED_TO_EXECUTE,FB:89::SQL,0,null,null,null
35,,false,false,327,DES_USAGE,FB:326::SECDU,0,null,null,null
35,,false,false,22,PATH_TRAVERSAL_IN,FB:22::SECPTI,0,null,null,null
35,,false,false,0,SERVLET_PARAMETER,FB:null::SECSP,0,null,null,null
35,,false,false,0,SERVLET_PARAMETER,FB:null::SECSP,0,null,null,null
36,,false,false,0,SERVLET_PARAMETER,FB:null::SECSP,0,null,null,null
36,,false,false,0,SERVLET_PARAMETER,FB:null::SECSP,0,null,null,null
36,,false,false,79,XSS_SERVLET,FB:79::SECXSS2,0,null,null,null
37,,false,false,0,SERVLET_PARAMETER,FB:null::SECSP,0,null,null,null
37,,false,false,0,SERVLET_PARAMETER,FB:null::SECSP,0,null,null,null
37,,false,false,89,SQL_INJECTION_JDBC,FB:89::SECSQLIJDBC,0,null,null,null
37,,false,false,89,SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,FB:89::SQL,0,null,null,null
38,,false,false,0,SERVLET_PARAMETER,FB:null::SECSP,0,null,null,null
38,,false,false,0,SERVLET_PARAMETER,FB:null::SECSP,0,null,null,null
38,,false,false,89,SQL_INJECTION_SPRING_JDBC,FB:89::SECSQLISPRJDBC,0,null,null,null
39,,false,false,0,SERVLET_PARAMETER,FB:null::SECSP,0,null,null,null
39,,false,false,0,SERVLET_PARAMETER,FB:null::SECSP,0,null,null,null
39,,false,false,89,SQL_INJECTION_SPRING_JDBC,FB:89::SECSQLISPRJDBC,0,null,null,null
40,,false,false,22,PATH_TRAVERSAL_IN,FB:22::SECPTI,0,null,null,null
41,,false,false,79,XSS_SERVLET,FB:79::SECXSS2,0,null,null,null
42,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
42,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
42,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
42,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
42,,false,false,0,HTTPONLY_COOKIE,FB:null::SECHOC,0,null,null,null
42,,false,false,79,XSS_SERVLET,FB:79::SECXSS2,0,null,null,null
43,,false,false,89,SQL_INJECTION_JDBC,FB:89::SECSQLIJDBC,0,null,null,null
43,,false,false,89,SQL_NONCONSTANT_STRING_PASSED_TO_EXECUTE,FB:89::SQL,0,null,null,null
44,,false,false,90,LDAP_INJECTION,FB:90::SECLDAPI,0,null,null,null
44,,false,false,0,SERVLET_PARAMETER,FB:null::SECSP,0,null,null,null
44,,false,false,79,XSS_SERVLET,FB:79::SECXSS2,0,null,null,null
45,,false,false,22,PATH_TRAVERSAL_IN,FB:22::SECPTI,0,null,null,null
45,,false,false,0,SERVLET_PARAMETER,FB:null::SECSP,0,null,null,null
46,,false,false,22,PATH_TRAVERSAL_IN,FB:22::SECPTI,0,null,null,null
46,,false,false,0,SERVLET_PARAMETER,FB:null::SECSP,0,null,null,null
46,,false,false,328,WEAK_MESSAGE_DIGEST_MD5,FB:328::SECMD5,0,null,null,null
47,,false,false,0,SERVLET_QUERY_STRING,FB:null::SECSSQ,0,null,null,null
47,,false,false,79,XSS_SERVLET,FB:79::SECXSS2,0,null,null,null
48,,false,false,0,SERVLET_QUERY_STRING,FB:null::SECSSQ,0,null,null,null
48,,false,false,79,XSS_SERVLET,FB:79::SECXSS2,0,null,null,null
49,,false,false,0,SERVLET_QUERY_STRING,FB:null::SECSSQ,0,null,null,null
49,,false,false,79,XSS_SERVLET,FB:79::SECXSS2,0,null,null,null
50,,false,false,353,CIPHER_INTEGRITY,FB:353::CIPINT,0,null,null,null
50,,false,false,327,DES_USAGE,FB:326::SECDU,0,null,null,null
50,,false,false,327,DES_USAGE,FB:326::SECDU,0,null,null,null
50,,false,false,327,PADDING_ORACLE,FB:null::PADORA,0,null,null,null
50,,false,false,22,PATH_TRAVERSAL_IN,FB:22::SECPTI,0,null,null,null
50,,false,false,329,STATIC_IV,FB:329::STAIV,0,null,null,null
53,,false,false,353,CIPHER_INTEGRITY,FB:353::CIPINT,0,null,null,null
53,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
53,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
53,,false,false,327,DES_USAGE,FB:326::SECDU,0,null,null,null
53,,false,false,327,DES_USAGE,FB:326::SECDU,0,null,null,null
53,,false,false,22,PATH_TRAVERSAL_IN,FB:22::SECPTI,0,null,null,null
53,,false,false,329,STATIC_IV,FB:329::STAIV,0,null,null,null
54,,false,false,353,CIPHER_INTEGRITY,FB:353::CIPINT,0,null,null,null
54,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
54,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
54,,false,false,22,PATH_TRAVERSAL_IN,FB:22::SECPTI,0,null,null,null
54,,false,false,329,STATIC_IV,FB:329::STAIV,0,null,null,null
55,,false,false,353,CIPHER_INTEGRITY,FB:353::CIPINT,0,null,null,null
55,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
55,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
55,,false,false,327,DES_USAGE,FB:326::SECDU,0,null,null,null
55,,false,false,327,DES_USAGE,FB:326::SECDU,0,null,null,null
55,,false,false,327,PADDING_ORACLE,FB:null::PADORA,0,null,null,null
55,,false,false,22,PATH_TRAVERSAL_IN,FB:22::SECPTI,0,null,null,null
55,,false,false,329,STATIC_IV,FB:329::STAIV,0,null,null,null
56,,false,false,353,CIPHER_INTEGRITY,FB:353::CIPINT,0,null,null,null
56,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
56,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
56,,false,false,327,DES_USAGE,FB:326::SECDU,0,null,null,null
56,,false,false,327,DES_USAGE,FB:326::SECDU,0,null,null,null
56,,false,false,327,PADDING_ORACLE,FB:null::PADORA,0,null,null,null
56,,false,false,22,PATH_TRAVERSAL_IN,FB:22::SECPTI,0,null,null,null
56,,false,false,329,STATIC_IV,FB:329::STAIV,0,null,null,null
57,,false,false,353,CIPHER_INTEGRITY,FB:353::CIPINT,0,null,null,null
57,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
57,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
57,,false,false,327,DES_USAGE,FB:326::SECDU,0,null,null,null
57,,false,false,327,DES_USAGE,FB:326::SECDU,0,null,null,null
57,,false,false,327,PADDING_ORACLE,FB:null::PADORA,0,null,null,null
57,,false,false,22,PATH_TRAVERSAL_IN,FB:22::SECPTI,0,null,null,null
57,,false,false,329,STATIC_IV,FB:329::STAIV,0,null,null,null
58,,false,false,353,CIPHER_INTEGRITY,FB:353::CIPINT,0,null,null,null
58,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
58,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
58,,false,false,327,DES_USAGE,FB:326::SECDU,0,null,null,null
58,,false,false,327,DES_USAGE,FB:326::SECDU,0,null,null,null
58,,false,false,22,PATH_TRAVERSAL_IN,FB:22::SECPTI,0,null,null,null
59,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
59,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
59,,false,false,327,DES_USAGE,FB:326::SECDU,0,null,null,null
59,,false,false,22,PATH_TRAVERSAL_IN,FB:22::SECPTI,0,null,null,null
60,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
60,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
60,,false,false,22,PATH_TRAVERSAL_IN,FB:22::SECPTI,0,null,null,null
60,,false,false,22,PATH_TRAVERSAL_IN,FB:22::SECPTI,0,null,null,null
61,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
61,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
61,,false,false,22,PATH_TRAVERSAL_IN,FB:22::SECPTI,0,null,null,null
62,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
62,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
62,,false,false,22,PATH_TRAVERSAL_IN,FB:22::SECPTI,0,null,null,null
63,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
63,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
63,,false,false,22,PATH_TRAVERSAL_IN,FB:22::SECPTI,0,null,null,null
64,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
64,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
64,,false,false,22,PATH_TRAVERSAL_OUT,FB:22::SECPTO,0,null,null,null
65,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
65,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
66,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
66,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
66,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
66,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
66,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
66,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
66,,false,false,0,HTTPONLY_COOKIE,FB:null::SECHOC,0,null,null,null
66,,false,false,330,PREDICTABLE_RANDOM,FB:330::SECPR,0,null,null,null
66,,false,false,79,XSS_SERVLET,FB:79::SECXSS2,0,null,null,null
67,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
67,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
67,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
67,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
67,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
67,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
67,,false,false,0,HTTPONLY_COOKIE,FB:null::SECHOC,0,null,null,null
67,,false,false,330,PREDICTABLE_RANDOM,FB:330::SECPR,0,null,null,null
67,,false,false,79,XSS_SERVLET,FB:79::SECXSS2,0,null,null,null
68,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
68,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
68,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
68,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
68,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
68,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
68,,false,false,0,HTTPONLY_COOKIE,FB:null::SECHOC,0,null,null,null
68,,false,false,330,PREDICTABLE_RANDOM,FB:330::SECPR,0,null,null,null
68,,false,false,79,XSS_SERVLET,FB:79::SECXSS2,0,null,null,null
69,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
69,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
69,,false,false,22,PATH_TRAVERSAL_IN,FB:22::SECPTI,0,null,null,null
70,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
70,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
70,,false,false,22,PATH_TRAVERSAL_IN,FB:22::SECPTI,0,null,null,null
70,,false,false,328,WEAK_MESSAGE_DIGEST_SHA1,FB:328::SECSHA1,0,null,null,null
71,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
71,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
71,,false,false,22,PATH_TRAVERSAL_IN,FB:22::SECPTI,0,null,null,null
71,,false,false,328,WEAK_MESSAGE_DIGEST_SHA1,FB:328::SECSHA1,0,null,null,null
72,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
72,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
72,,false,false,22,PATH_TRAVERSAL_IN,FB:22::SECPTI,0,null,null,null
73,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
73,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
73,,false,false,22,PATH_TRAVERSAL_IN,FB:22::SECPTI,0,null,null,null
73,,false,false,328,WEAK_MESSAGE_DIGEST_MD5,FB:328::SECMD5,0,null,null,null
74,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
74,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
74,,false,false,22,PATH_TRAVERSAL_IN,FB:22::SECPTI,0,null,null,null
75,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
75,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
75,,false,false,22,PATH_TRAVERSAL_IN,FB:22::SECPTI,0,null,null,null
76,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
76,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
76,,false,false,22,PATH_TRAVERSAL_IN,FB:22::SECPTI,0,null,null,null
77,,false,false,78,COMMAND_INJECTION,FB:78::SECCI,0,null,null,null
77,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
77,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
78,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
78,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
78,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
78,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
78,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
78,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
78,,false,false,0,HTTPONLY_COOKIE,FB:null::SECHOC,0,null,null,null
78,,false,false,330,PREDICTABLE_RANDOM,FB:330::SECPR,0,null,null,null
78,,false,false,79,XSS_SERVLET,FB:79::SECXSS2,0,null,null,null
79,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
79,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
79,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
79,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
79,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
79,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
79,,false,false,0,HTTPONLY_COOKIE,FB:null::SECHOC,0,null,null,null
79,,false,false,330,PREDICTABLE_RANDOM,FB:330::SECPR,0,null,null,null
79,,false,false,79,XSS_SERVLET,FB:79::SECXSS2,0,null,null,null
80,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
80,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
80,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
80,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
80,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
80,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
80,,false,false,0,HTTPONLY_COOKIE,FB:null::SECHOC,0,null,null,null
80,,false,false,330,PREDICTABLE_RANDOM,FB:330::SECPR,0,null,null,null
80,,false,false,79,XSS_SERVLET,FB:79::SECXSS2,0,null,null,null
81,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
81,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
81,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
81,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
81,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
81,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
81,,false,false,0,HTTPONLY_COOKIE,FB:null::SECHOC,0,null,null,null
81,,false,false,330,PREDICTABLE_RANDOM,FB:330::SECPR,0,null,null,null
81,,false,false,79,XSS_SERVLET,FB:79::SECXSS2,0,null,null,null
82,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
82,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
82,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
82,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
82,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
82,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
82,,false,false,0,HTTPONLY_COOKIE,FB:null::SECHOC,0,null,null,null
82,,false,false,330,PREDICTABLE_RANDOM,FB:330::SECPR,0,null,null,null
82,,false,false,79,XSS_SERVLET,FB:79::SECXSS2,0,null,null,null
83,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
83,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
83,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
83,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
83,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
83,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
83,,false,false,0,HTTPONLY_COOKIE,FB:null::SECHOC,0,null,null,null
83,,false,false,330,PREDICTABLE_RANDOM,FB:330::SECPR,0,null,null,null
83,,false,false,79,XSS_SERVLET,FB:79::SECXSS2,0,null,null,null
84,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
84,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
84,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
84,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
84,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
84,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
84,,false,false,0,HTTPONLY_COOKIE,FB:null::SECHOC,0,null,null,null
84,,false,false,330,PREDICTABLE_RANDOM,FB:330::SECPR,0,null,null,null
84,,false,false,79,XSS_SERVLET,FB:79::SECXSS2,0,null,null,null
85,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
85,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
85,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
85,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
85,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
85,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
85,,false,false,0,HTTPONLY_COOKIE,FB:null::SECHOC,0,null,null,null
85,,false,false,330,PREDICTABLE_RANDOM,FB:330::SECPR,0,null,null,null
85,,false,false,79,XSS_SERVLET,FB:79::SECXSS2,0,null,null,null
86,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
86,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
86,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
86,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
86,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
86,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
86,,false,false,0,HTTPONLY_COOKIE,FB:null::SECHOC,0,null,null,null
86,,false,false,330,PREDICTABLE_RANDOM,FB:330::SECPR,0,null,null,null
86,,false,false,79,XSS_SERVLET,FB:79::SECXSS2,0,null,null,null
87,,false,false,0,COOKIE_USAGE,FB:null::SECCU,0,null,null,null
